0;0.809;0.822;
100;0.779;1.072;
200;0.656;1.072;
300;0.656;1.072;
400;0.656;1.072;
500;0.656;1.072;
600;0.656;1.072;
700;0.656;1.072;
800;0.656;1.072;
900;0.656;1.072;
1000;0.656;1.072;
1100;0.656;1.072;
1200;0.656;1.072;
1300;0.656;1.072;
1400;0.656;1.072;
1500;0.656;1.072;
1600;0.656;1.072;
1700;0.656;1.072;
1800;0.656;1.072;
1900;0.656;1.072;
2000;0.656;1.072;
2100;0.656;1.072;
2200;0.656;1.072;
2300;0.656;1.072;
2400;0.656;1.072;
2500;0.656;1.072;
2600;0.656;1.072;
2700;0.656;1.072;
2800;0.656;1.072;
2900;0.656;1.072;
3000;0.656;1.072;
3100;0.656;1.072;
3200;0.656;1.072;
3300;0.656;1.072;
3400;0.656;1.072;
3500;0.656;1.072;
3600;0.659;1.072;
3700;0.662;1.072;
3800;0.662;1.072;
3900;0.666;1.072;
4000;0.672;1.072;
4100;0.685;1.072;
4200;0.698;1.072;
4300;0.698;1.072;
4400;0.698;1.072;
4500;0.698;1.072;
4600;0.698;1.072;
4700;0.698;1.072;
4800;0.698;1.072;
4900;0.698;1.072;
5000;0.698;1.072;
5100;0.698;1.072;
5200;0.698;1.072;
5300;0.698;1.072;
5400;0.659;1.072;
5500;0.656;1.072;
5600;0.656;1.072;
5700;0.656;1.072;
5800;0.656;1.072;
5900;0.656;1.072;
6000;0.656;1.072;
6100;0.656;1.072;
6200;0.656;1.072;
6300;0.656;1.072;
6400;0.656;1.072;
6500;0.656;1.072;
6600;0.656;1.072;
6700;0.656;1.072;
6800;0.656;1.072;
6900;0.659;1.072;
7000;0.662;1.072;
7100;0.666;1.072;
7200;0.666;1.072;
7300;0.669;1.072;
7400;0.672;1.072;
7500;0.672;1.072;
7600;0.679;1.072;
7700;0.679;1.072;
7800;0.679;1.072;
7900;0.679;1.072;
8000;0.679;1.072;
8100;0.679;1.072;
8200;0.679;1.072;
8300;0.679;1.072;
8400;0.679;1.072;
8500;0.679;1.072;
8600;0.679;1.072;
8700;0.679;1.072;
8800;0.679;1.072;
8900;0.682;1.072;
9000;0.685;1.072;
9100;0.688;1.072;
9200;0.666;1.072;
9300;0.669;1.072;
9400;0.675;1.072;
9500;0.675;1.072;
9600;0.675;1.072;
9700;0.675;1.072;
9800;0.675;1.072;
9900;0.675;1.072;
10000;0.675;1.072;
10100;0.675;1.072;
10200;0.675;1.072;
10300;0.675;1.072;
10400;0.675;1.072;
10500;0.675;1.072;
10600;0.675;1.072;
10700;0.675;1.072;
10800;0.675;1.072;
10900;0.675;1.072;
11000;0.675;1.072;
11100;0.675;1.072;
11200;0.675;1.072;
11300;0.675;1.072;
11400;0.675;1.072;
11500;0.675;1.072;
11600;0.675;1.072;
11700;0.675;1.072;
11800;0.675;1.072;
11900;0.675;1.072;
12000;0.675;1.072;
12100;0.679;1.072;
12200;0.679;1.072;
12300;0.656;1.072;
12400;0.656;1.072;
12500;0.656;1.072;
12600;0.656;1.072;
12700;0.656;1.072;
12800;0.659;1.072;
12900;0.662;1.072;
13000;0.662;1.072;
13100;0.662;1.072;
13200;0.662;1.072;
13300;0.662;1.072;
13400;0.662;1.072;
13500;0.662;1.072;
